"","Participant number","Condition","I saw regular patterns","I saw colours before me","I saw whole scenes rolling by","I could see pictures from my past or fantasy extremely vividly","My imagination was extremely vivid","ASC dimension","Average score"
"1","08","Flicker",75,100,50,0,20,"Elementary imagery",87.5
"2","08","Flicker",75,100,50,0,20,"Complex imagery",23.3333333333333
"3","08","Ganzfeld",0,0,0,0,0,"Elementary imagery",0
"4","08","Ganzfeld",0,0,0,0,0,"Complex imagery",0
"5","09","Flicker",30,50,15,0,10,"Elementary imagery",40
"6","09","Flicker",30,50,15,0,10,"Complex imagery",8.33333333333333
"7","09","Ganzfeld",71,0,5,0,0,"Elementary imagery",35.5
"8","09","Ganzfeld",71,0,5,0,0,"Complex imagery",1.66666666666667
"9","10","Flicker",0,0,0,0,0,"Elementary imagery",0
"10","10","Flicker",0,0,0,0,0,"Complex imagery",0
"11","10","Ganzfeld",0,0,0,0,0,"Elementary imagery",0
"12","10","Ganzfeld",0,0,0,0,0,"Complex imagery",0
"13","11","Flicker",51,61,10,0,10,"Elementary imagery",56
"14","11","Flicker",51,61,10,0,10,"Complex imagery",6.66666666666667
"15","11","Ganzfeld",0,5,0,0,0,"Elementary imagery",2.5
"16","11","Ganzfeld",0,5,0,0,0,"Complex imagery",0
"17","12","Flicker",92,91,0,0,9,"Elementary imagery",91.5
"18","12","Flicker",92,91,0,0,9,"Complex imagery",3
"19","12","Ganzfeld",29,72,0,0,0,"Elementary imagery",50.5
"20","12","Ganzfeld",29,72,0,0,0,"Complex imagery",0
"21","13","Flicker",67,39,22,1,42,"Elementary imagery",53
"22","13","Flicker",67,39,22,1,42,"Complex imagery",21.6666666666667
"23","13","Ganzfeld",63,71,46,4,62,"Elementary imagery",67
"24","13","Ganzfeld",63,71,46,4,62,"Complex imagery",37.3333333333333
"25","14","Flicker",70,100,50,0,0,"Elementary imagery",85
"26","14","Flicker",70,100,50,0,0,"Complex imagery",16.6666666666667
"27","14","Ganzfeld",70,10,20,0,31,"Elementary imagery",40
"28","14","Ganzfeld",70,10,20,0,31,"Complex imagery",17
"29","15","Flicker",100,7,1,0,100,"Elementary imagery",53.5
"30","15","Flicker",100,7,1,0,100,"Complex imagery",33.6666666666667
"31","15","Ganzfeld",70,3,0,0,61,"Elementary imagery",36.5
"32","15","Ganzfeld",70,3,0,0,61,"Complex imagery",20.3333333333333
"33","16","Flicker",81,70,29,9,30,"Elementary imagery",75.5
"34","16","Flicker",81,70,29,9,30,"Complex imagery",22.6666666666667
"35","16","Ganzfeld",0,0,40,30,40,"Elementary imagery",0
"36","16","Ganzfeld",0,0,40,30,40,"Complex imagery",36.6666666666667
"37","17","Flicker",80,60,10,0,5,"Elementary imagery",70
"38","17","Flicker",80,60,10,0,5,"Complex imagery",5
"39","17","Ganzfeld",0,30,0,0,0,"Elementary imagery",15
"40","17","Ganzfeld",0,30,0,0,0,"Complex imagery",0
"41","18","Flicker",98,99,1,1,1,"Elementary imagery",98.5
"42","18","Flicker",98,99,1,1,1,"Complex imagery",1
"43","18","Ganzfeld",82,61,1,0,0,"Elementary imagery",71.5
"44","18","Ganzfeld",82,61,1,0,0,"Complex imagery",0.333333333333333
"45","19","Flicker",97,29,94,3,31,"Elementary imagery",63
"46","19","Flicker",97,29,94,3,31,"Complex imagery",42.6666666666667
"47","19","Ganzfeld",3,70,4,3,3,"Elementary imagery",36.5
"48","19","Ganzfeld",3,70,4,3,3,"Complex imagery",3.33333333333333
"49","20","Flicker",80,100,90,0,14,"Elementary imagery",90
"50","20","Flicker",80,100,90,0,14,"Complex imagery",34.6666666666667
"51","20","Ganzfeld",77,91,19,0,9,"Elementary imagery",84
"52","20","Ganzfeld",77,91,19,0,9,"Complex imagery",9.33333333333333
"53","21","Flicker",71,14,55,8,8,"Elementary imagery",42.5
"54","21","Flicker",71,14,55,8,8,"Complex imagery",23.6666666666667
"55","21","Ganzfeld",1,8,1,29,19,"Elementary imagery",4.5
"56","21","Ganzfeld",1,8,1,29,19,"Complex imagery",16.3333333333333
"57","23","Flicker",0,0,0,100,100,"Elementary imagery",0
"58","23","Flicker",0,0,0,100,100,"Complex imagery",66.6666666666667
"59","23","Ganzfeld",82,100,60,92,93,"Elementary imagery",91
"60","23","Ganzfeld",82,100,60,92,93,"Complex imagery",81.6666666666667
"61","24","Flicker",95,70,61,60,85,"Elementary imagery",82.5
"62","24","Flicker",95,70,61,60,85,"Complex imagery",68.6666666666667
"63","24","Ganzfeld",0,100,0,0,0,"Elementary imagery",50
"64","24","Ganzfeld",0,100,0,0,0,"Complex imagery",0
"65","25","Flicker",63,26,0,0,0,"Elementary imagery",44.5
"66","25","Flicker",63,26,0,0,0,"Complex imagery",0
"67","25","Ganzfeld",38,65,0,0,0,"Elementary imagery",51.5
"68","25","Ganzfeld",38,65,0,0,0,"Complex imagery",0
"69","26","Flicker",85,97,92,63,72,"Elementary imagery",91
"70","26","Flicker",85,97,92,63,72,"Complex imagery",75.6666666666667
"71","26","Ganzfeld",92,99,7,1,4,"Elementary imagery",95.5
"72","26","Ganzfeld",92,99,7,1,4,"Complex imagery",4
"73","27","Flicker",100,100,100,43,43,"Elementary imagery",100
"74","27","Flicker",100,100,100,43,43,"Complex imagery",62
"75","27","Ganzfeld",40,100,31,0,10,"Elementary imagery",70
"76","27","Ganzfeld",40,100,31,0,10,"Complex imagery",13.6666666666667
"77","28","Flicker",51,51,1,10,73,"Elementary imagery",51
"78","28","Flicker",51,51,1,10,73,"Complex imagery",28
"79","28","Ganzfeld",75,52,41,51,63,"Elementary imagery",63.5
"80","28","Ganzfeld",75,52,41,51,63,"Complex imagery",51.6666666666667
"81","29","Flicker",81,100,73,3,79,"Elementary imagery",90.5
"82","29","Flicker",81,100,73,3,79,"Complex imagery",51.6666666666667
"83","29","Ganzfeld",10,3,8,34,25,"Elementary imagery",6.5
"84","29","Ganzfeld",10,3,8,34,25,"Complex imagery",22.3333333333333
"85","30","Flicker",100,100,70,5,40,"Elementary imagery",100
"86","30","Flicker",100,100,70,5,40,"Complex imagery",38.3333333333333
"87","30","Ganzfeld",90,50,100,100,100,"Elementary imagery",70
"88","30","Ganzfeld",90,50,100,100,100,"Complex imagery",100
"89","31","Flicker",100,25,0,61,11,"Elementary imagery",62.5
"90","31","Flicker",100,25,0,61,11,"Complex imagery",24
"91","31","Ganzfeld",4,12,0,0,0,"Elementary imagery",8
"92","31","Ganzfeld",4,12,0,0,0,"Complex imagery",0
"93","32","Flicker",80,100,30,10,30,"Elementary imagery",90
"94","32","Flicker",80,100,30,10,30,"Complex imagery",23.3333333333333
"95","32","Ganzfeld",10,50,5,0,10,"Elementary imagery",30
"96","32","Ganzfeld",10,50,5,0,10,"Complex imagery",5
"97","33","Flicker",79,12,0,0,4,"Elementary imagery",45.5
"98","33","Flicker",79,12,0,0,4,"Complex imagery",1.33333333333333
"99","33","Ganzfeld",0,9,0,0,5,"Elementary imagery",4.5
"100","33","Ganzfeld",0,9,0,0,5,"Complex imagery",1.66666666666667
"101","34","Flicker",70,0,41,0,9,"Elementary imagery",35
"102","34","Flicker",70,0,41,0,9,"Complex imagery",16.6666666666667
"103","34","Ganzfeld",71,0,0,0,10,"Elementary imagery",35.5
"104","34","Ganzfeld",71,0,0,0,10,"Complex imagery",3.33333333333333
"105","35","Flicker",100,32,0,0,50,"Elementary imagery",66
"106","35","Flicker",100,32,0,0,50,"Complex imagery",16.6666666666667
"107","35","Ganzfeld",90,10,0,0,71,"Elementary imagery",50
"108","35","Ganzfeld",90,10,0,0,71,"Complex imagery",23.6666666666667
"109","36","Flicker",90,60,0,0,0,"Elementary imagery",75
"110","36","Flicker",90,60,0,0,0,"Complex imagery",0
"111","36","Ganzfeld",90,10,0,0,0,"Elementary imagery",50
"112","36","Ganzfeld",90,10,0,0,0,"Complex imagery",0
"113","37","Flicker",69,42,8,1,15,"Elementary imagery",55.5
"114","37","Flicker",69,42,8,1,15,"Complex imagery",8
"115","37","Ganzfeld",68,30,0,9,10,"Elementary imagery",49
"116","37","Ganzfeld",68,30,0,9,10,"Complex imagery",6.33333333333333
"117","38","Flicker",77,91,13,0,8,"Elementary imagery",84
"118","38","Flicker",77,91,13,0,8,"Complex imagery",7
"119","38","Ganzfeld",2,82,0,0,1,"Elementary imagery",42
"120","38","Ganzfeld",2,82,0,0,1,"Complex imagery",0.333333333333333
